year,province,inpatient_discharges,avg_inpatient_cost,total_expenditure,population,pilot_population,exposure,gdp_per_capita,elderly_population,aging_rate,physicians_per_1000,beds_per_1000
2017,Guangdong,"16,324,104","10,922","178,298,393,530",12141,,,77346,7121,5.87%,2.3,4.41
2017,Guangxi,"8,976,010","8,028","72,060,305,881",4907,,,37017,3936,8.02%,2.1,4.94
2017,Hainan,"1,161,471","9,701","11,267,894,759",972,,,47205,626,6.44%,2.2,4.53
2017,Chongqing,"6,827,346","7,885","53,834,305,945",3144,,,64793,3618,11.51%,2.2,6.71
2017,Sichuan,"18,180,300","7,593","138,033,927,750",8289,,,46574,9557,11.53%,2.3,6.79
2017,Guizhou,"7,272,130","5,728","41,654,033,427",3803,,,37210,2946,7.75%,2.1,6.51
2017,Yunnan,"8,861,269","6,235","55,250,012,215",4693,,,40266,3336,7.11%,2,5.72
2017,Tibet,"327,368","7,206","2,359,013,808",349,,,40086,162,4.64%,2.3,4.78
2017,Shaanxi,"7,454,384","7,003","52,203,796,590",3904,,,55994,3512,9.00%,2.4,6.29
2017,Gansu,"4,327,332","5,770","24,967,840,174",2522,,,30316,2243,8.89%,2.1,5.58
2017,Qinghai,"975,272","8,186","7,983,088,956",586,,,43099,390,6.66%,2.6,6.41
2017,Ningxia,"1,157,289","7,410","8,575,627,219",705,,,46737,476,6.75%,2.7,5.84
2017,Xinjiang,"5,483,369","7,047","38,640,204,669",2480,,,46703,1472,5.94%,2.5,6.85
